Lat,Long,YY,LoAge,UpAge,Ex,Pf
14.7461,-17.3783,2008,2,10,47,1
14.7452,-17.3846,1922,0,15,25,17
14.7452,-17.3846,2012,0.8,4.9,20,0
14.7444,-17.3769,1945,0.5,6,350,177
14.7444,-17.3769,1949,0,7,120,4
14.754,-17.375,1922,0,15,29,10
14.7538,-17.3812,2008,2,10,56,1
14.7596,-17.3861,2008,2,10,48,4
14.768,-17.368,1949,0,7,64,3
14.768,-17.368,2014,0.8,4.8,23,0
14.7996,-17.1836,1967,2,9,195,33
14.7,-17.237,1967,0,15,555,66
14.7431,-17.173,1967,2,9,51,22
14.7832,-17.1306,2011,0.8,5.9,19,0
14.8688,-17.1966,2010,0.7,5.7,33,1
14.7186,-17.2844,2010,0.9,5.5,19,0
14.7868,-17.2394,2010,0.8,5.8,18,0
14.7062,-17.1553,2012,0.6,4.7,14,0
14.7321,-17.2826,2008,2,10,30,1
14.712,-17.266,1966,5,15,110,41
14.7187,-17.2615,2008,2,10,47,1
14.722,-17.271,1905,0,3,25,9
14.722,-17.271,1906,0,3,11,4
14.722,-17.271,1922,2,15,80,37
14.722,-17.271,1966,0,15,42,14
14.722,-17.271,1967,0,15,122,6
14.722,-17.271,2014,0.8,4.8,30,0
14.72,-17.28,2013,0.8,4.6,23,0
14.69,-17.22,2012,0.6,4.4,11,0
14.8107,-17.2514,1967,2,9,140,17
14.8107,-17.2514,2013,0.5,4.8,68,2
14.8107,-17.2514,2014,0.6,4.8,42,0
14.749,-17.133,1950,0,9,195,51
14.749,-17.133,1967,0,15,733,126
14.7152,-17.2712,2008,0.5,4.9,23,1
14.8002,-17.1857,2008,0.8,5,24,3
14.8076,-17.283,2013,0.8,4.5,18,0
14.6345,-17.1699,1967,2,9,224,31
14.6345,-17.1699,2013,0.6,4.3,17,0
14.6532,-17.135,2013,0.5,4.8,23,0
14.7972,-17.1704,2012,0.5,4.5,21,0
14.939,-16.494,1963,0,15,967,186
14.939,-16.494,2014,0.8,4.9,51,0
14.701,-16.459,1922,5,15,24,5
14.701,-16.459,1968,0,14,100,26
14.701,-16.459,2014,0.8,4.9,33,0
14.898,-16.468,1960,0,14,68,24
14.8967,-16.5983,2011,1,5.9,15,0
14.73,-16.5477,2011,0.7,5.9,28,0
14.7751,-16.5636,2011,1.1,5.3,21,0
14.6853,-16.3197,2011,0.7,5.9,28,1
14.6565,-16.512,2011,0.7,5.8,17,0
14.7166,-16.3,1960,0,14,189,92
14.8467,-16.3911,2012,0.5,4.8,51,0
14.8666,-16.5166,1960,0,14,65,5
14.801,-16.535,1963,0,15,1914,490
14.8906,-16.6496,1965,0,14,134,42
14.651,-16.585,1972,0,14,139,28
14.734,-16.418,2014,0.7,4.8,35,0
14.6348,-16.4406,1963,0,15,2109,791
14.6348,-16.4406,2014,0.7,4.9,49,0
14.9719,-16.429,2009,0.8,5,31,0
14.6995,-16.4988,2009,0.5,5,36,0
14.65,-16.35,1960,0,14,44,1
14.5959,-16.3519,2011,1.3,5.8,15,0
14.6147,-16.1962,2011,1,5.8,25,0
14.8425,-16.2085,2011,0.9,5.8,15,0
14.6584,-16.2343,2011,0.4,5.7,24,0
14.658,-16.236,1922,5,15,57,31
14.658,-16.236,1968,0,14,100,48
14.658,-16.236,2012,0.7,4.9,78,4
14.658,-16.236,2014,0.7,4.9,116,1
14.9066,-16.3538,2012,0.6,4.9,47,0
14.85,-16.1833,1960,0,14,54,4
14.6481,-16.0522,2013,0.5,4.9,83,0
14.8967,-16.3311,2013,0.5,4.8,41,0
14.884,-16.218,1963,0,15,793,414
14.736,-16.119,1965,0,15,692,286
14.6162,-16.2907,2013,0.5,4.9,54,2
14.6615,-16.2049,2009,0.7,5,36,0
14.8972,-16.2041,2009,0.8,5,19,0
14.8,-16.3,2014,0.8,4.9,46,0
14.7833,-15.7333,1951,0,9,100,60
14.8112,-15.8899,2003,0,14,230,1
14.8112,-15.8899,2004,0,14,117,0
14.832,-15.8852,2003,0,14,223,0
14.832,-15.8852,2004,0,14,126,0
14.832,-15.8852,2014,1.1,4.9,22,0
14.7323,-16.0393,2014,0.5,4.7,37,0
14.8811,-15.8294,2010,0.7,5.8,22,2
14.9035,-15.888,2010,0.9,5.1,18,0
14.8773,-15.9175,2011,0.8,5.9,20,0
14.7972,-15.8813,2011,0.7,5.4,15,2
14.8015,-15.8561,2010,0.6,4.9,22,2
14.8966,-15.8401,2010,0.7,5.8,24,1
14.8253,-15.9183,2010,0.6,5.7,24,3
14.6656,-15.9576,2011,0.5,5.9,24,1
14.8334,-15.9329,2011,0.7,6,19,0
14.929,-15.8574,2010,0.5,5.3,17,0
14.8162,-15.8991,2011,0.8,6,24,0
14.85,-15.7833,1960,0,14,109,29
14.65,-16.05,1960,0,14,18,15
14.65,-16.05,1968,0,15,969,507
14.8473,-16.0121,1960,0,14,53,15
14.79,-15.907,2014,0.7,4.8,38,0
14.7666,-15.9666,1960,0,14,31,19
14.8367,-15.8863,2008,0.5,5,38,5
14.855,-15.8942,2008,0.5,5,30,1
14.8608,-15.8671,2008,1,4.9,22,1
14.8618,-15.869,2008,0.5,5,15,0
14.8476,-15.8456,2009,0.6,5,21,0
14.8588,-15.8806,2008,0.6,5,21,0
14.8774,-15.8991,2008,1,5,22,0
14.9221,-16.0451,2008,0.7,5,26,0
14.868,-15.894,2014,0.8,4.8,166,0
14.9368,-15.6763,2013,0.5,4.8,199,11
14.4031,-16.6465,2013,0.7,4.8,22,0
14.3133,-16.6082,2011,1.5,5.9,15,0
14.4419,-16.4822,2011,0.8,5.9,20,1
14.4194,-16.5751,2011,0.6,5.4,20,0
14.3357,-16.4036,2011,0.6,5.8,24,0
14.4837,-16.399,2011,1.2,5.9,17,0
14.5322,-16.3579,2011,0.6,5.9,29,0
14.346,-16.4206,2011,0.6,6,16,0
14.566,-16.2485,2011,0.6,5.9,18,2
14.0199,-16.7497,1965,0,14,82,26
14.0199,-16.7497,1967,2,9,50,44
13.983,-16.766,1995,0,10,124,31
13.983,-16.766,1996,0,10,94,0
14.467,-16.3,1966,0,15,953,482
14.467,-16.3,2014,0.8,4.9,40,0
14.3745,-16.2154,2013,0.7,4.9,37,0
14.443,-16.4833,2014,0.7,4.9,53,0
14.184,-16.667,2014,0.9,4.4,14,0
14.496,-16.506,2001,2,15,529,285
14.496,-16.506,2002,2,18,616,191
14.496,-16.506,2003,2,18,461,109
14.367,-16.434,2002,0.2,4.9,30,10
14.35,-16.533,1966,0,14,189,83
14.1,-16.667,1965,0,15,592,256
14.1,-16.667,1996,0,10,116,0
14.1,-16.667,1997,0,10,182,2
14.34,-16.426,1970,0,99,331,24
14.34,-16.426,2013,0.6,4.5,30,0
14.34,-16.426,2014,0.7,4.7,20,0
14.134,-16.667,1950,0,9,100,17
14.134,-16.667,1964,0,15,877,229
14.3781,-16.3174,2012,0.8,4.8,27,0
14.534,-16.417,2002,0.2,4.9,95,9
14.449,-16.522,2002,0.2,4.9,92,43
14.467,-16.534,2002,0.2,4.9,166,102
14.469,-16.475,2002,0.2,4.9,125,41
