"web_x","web_y"
-10235091.088731,5517072.62556135
-10235154.7817655,5517114.7695988
-10235580.2551691,5517397.90469584
-10235657.5361718,5517449.54689121
-10236141.6070831,5517763.55810891
-10236559.4645268,5518337.63674708
-10236832.1235594,5519050.70952905
-10237018.9729569,5519341.64650566
-10237248.2892545,5519696.72129182
-10237672.9528285,5520398.60078899
-10237717.9660644,5520459.17097362
-10238250.451945,5520895.6233679
-10238759.1573126,5521307.74842586
-10239070.8233086,5521429.47344161
-10239567.60983,5521508.42029363
-10240121.3016596,5521697.24083146
-10240205.374508,5521725.1483546
-10240700.4697113,5521880.71757282
-10241195.5644604,5522031.53886349
-10241700.0114394,5522304.12646482
-10241756.910421,5522335.00938711
-10242252.8722768,5522687.20433343
-10242885.5697098,5523193.25701988
-10243712.7146894,5523510.99970884
-10244511.8389903,5523857.86486968
-10245457.0299834,5524256.41744993
-10246065.9397516,5524662.7430229
-10246682.5019877,5525165.93656222
-10246740.2517344,5525212.87081126
-10247192.9283765,5525806.43159671
-10247254.0783597,5525887.23972713
-10247676.1688108,5526321.58528082
-10248298.6665122,5526737.51079301
-10248733.4795303,5527010.24573158
-10249299.9100841,5527198.5854747
-10249881.6201238,5527334.03311091
-10250286.6991641,5527479.00946812
-10250646.7669309,5527572.28523162
-10251000.0525298,5527792.15567632
-10251254.836764,5528078.61148412
-10251849.3057946,5528427.45399229
-10252483.6691735,5528589.66254272
-10252550.757153,5528609.8657642
-10253191.9112575,5528748.30024599
-10253703.9945392,5528947.97518529
-10253759.193524,5528963.42457531
-10253836.4715231,5528983.62765965
-10254539.6172801,5529122.65720609
-10255178.2192505,5529203.4399834
-10256063.1015931,5529439.94537415
-10257657.1059115,5530161.48834233
-10259229.8570669,5530630.41244399
-10260635.3197075,5531127.3208549
-10262102.7687014,5531580.8440338
-10263047.9356238,5531728.80928631
-10264042.356107,5531886.28527656
-10264104.3474924,5531895.79396344
-10265036.7772933,5532051.49549209
-10265103.864635,5532065.1657888
-10265816.3632547,5532335.0612822
-10266776.8621731,5532977.20562564
-10267942.0395975,5533867.38158219
-10268775.178327,5534723.17493239
-10268821.0396114,5534771.35081648
-10269345.8964164,5535353.03432142
-10269699.1974624,5535750.95636407
-10269781.5772643,5535837.79989819
-10270374.390366,5536642.63829453
-10271162.5186062,5537455.26540422
-10272055.9293564,5538088.2577631
-10273070.7723943,5538688.55418691
-10273949.7594422,5539456.1266146
-10274404.9975136,5540198.80694543
-10274440.6688413,5540259.50976951
-10274894.2070502,5540987.97126208
-10275169.4193623,5541774.84307678
-10275300.2827872,5542701.6949694
-10275505.0052141,5543416.08721439
-10275567.9065183,5544057.90785973
-10275702.1457854,5544771.22228909
-10275715.7478244,5544930.20813794
-10275841.4842773,5545523.2990124
-10276002.8914455,5546158.70826096
-10276166.0028245,5546866.22832203
-10276455.6233011,5547342.09224629
-10276841.2100286,5547910.29756706
-10276884.5250458,5547974.62384709
-10277366.9269826,5548608.38743543
-10277431.4652226,5548608.38130927
-10277941.0136336,5548949.08362386
-10278005.5559728,5548992.56531218
-10278922.7405349,5549581.07950293
-10279903.6145556,5550174.98922763
-10281419.4805964,5550771.26899282
-10282246.6181793,5551020.85437417
-10282329.8413871,5551045.87166091
-10283038.9448068,5551339.57154025
-10283681.7856153,5551347.25687693
-10284324.6119357,5551213.12216836
-10284998.0104106,5551089.71302437
-10285397.129915,5551083.12087089
-10286067.9897476,5551056.83855794
-10286857.7575001,5551246.84724528
-10287531.1952367,5551540.55703004
-10287587.2443272,5551565.57832867
-10288456.8617787,5552030.90564495
-10288523.101609,5552063.67584014
-10289237.2919391,5552266.8230297
-10290680.9403377,5552484.20975493
-10291410.4070513,5552590.22111542
-10291897.8512383,5552660.50015497
-10292466.8015749,5552571.05009497
-10293015.3757577,5552522.72508555
-10293462.8953066,5552469.64342701
-10293944.3872995,5552461.848934
-10294228.8675031,5552464.80278353
-10294676.388949,5552431.98245185
-10295156.1860082,5552474.2494449
-10295512.005285,5552549.30661069
-10296011.3441904,5552697.65563793
